Parent Letter Sent Home?,Parent Phone Call?,Fall Reading,Winter Reading,Reading Growth,Fall Language,Winter Language,Language Growth
,,,,,,,
FALSE,FALSE,205,207,2,210,212,2
FALSE,FALSE,183,196,13,185,197,12
FALSE,FALSE,196,205,9,205,206,1
FALSE,FALSE,192,198,6,190,195,5
FALSE,FALSE,196,188,-8,191,191,0
FALSE,FALSE,201,191,-10,193,198,5
FALSE,FALSE,194,196,2,200,197,-3
FALSE,FALSE,154,157,3,150,171,21
TRUE,FALSE,158,173,15,162,172,10
TRUE,FALSE,155,158,3,156,176,20
FALSE,FALSE,148,156,8,153,158,5
FALSE,FALSE,198,209,11,203,208,5
