Fall Reading,Winter Reading,Reading Growth,Fall Language,Winter Language,Language Growth
,,,,,
206,213,7,202,207,5
157,180,23,161,177,16
153,153,0,148,160,12
163,184,21,168,186,18
181,193,12,178,190,12
181,184,3,163,183,20
195,184,-11,195,186,-9
143,156,13,152,152,0
186,187,1,181,184,3
155,164,9,160,170,10
190,206,16,176,188,12
164,185,21,158,167,9
188,189,1,186,190,4
168,171,3,178,173,-5
171,185,14,173,180,7
190,199,9,195,204,9
199,203,4,188,203,15
194,207,13,201,203,2
179,186,7,179,187,8
199,199,0,189,196,7
165,168,3,169,164,-5
146,154,8,158,162,4
169,172,3,186,179,-7
169,179,10,160,173,13
175,178,3,163,177,14
147,138,-9,150,151,1
145,150,5,153,155,2
154,148,-6,157,157,0
171,187,16,182,188,6
208,204,-4,195,194,-1
182,184,2,181,173,-8
168,166,-2,166,168,2
178,196,18,187,202,15
147,154,7,157,157,0
161,159,-2,153,177,24
174,188,14,166,183,17
171,183,12,181,184,3
190,203,13,189,188,-1
185,203,18,172,187,15
169,173,4,163,176,13
201,194,-7,196,207,11
155,152,-3,151,162,11
188,184,-4,188,191,3
174,183,9,184,194,10
176,183,7,177,188,11
165,185,20,161,177,16
198,199,1,186,193,7
156,154,-2,155,161,6
154,170,16,150,150,0
182,193,11,180,195,15
199,203,4,195,201,6
154,148,-6,145,165,20
191,195,4,188,191,3
183,192,9,191,194,3
208,207,-1,202,198,-4
