Fall Reading,Winter Reading,Reading Growth,Fall Language,Winter Language,Language Growth
,,,,,
53,44,-9,34,21,-13
51,54,3,52,45,-7
39,49,10,16,37,21
1,1,0,1,1,0
46,37,-9,65,23,-42
9,14,5,13,14,1
51,66,15,41,56,15
30,16,-14,23,19,-4
91,72,-19,72,92,20
32,30,-2,23,15,-8
92,78,-14,80,80,0
24,28,4,39,21,-18
75,39,-36,41,42,1
89,91,2,76,91,15
24,32,8,9,50,41
41,51,10,36,42,6
6,6,0,1,2,1
21,1,-19,1,1,0
58,66,8,78,89,11
23,17,-6,27,23,-4
73,54,-19,49,56,7
21,22,1,9,27,18
69,51,-18,25,37,12
92,97,5,94,84,-10
75,68,-7,39,50,11
39,10,-29,16,12,-4
39,19,-20,14,27,13
77,61,-16,78,56,-22
1,7,6,2,1,-1
60,30,-30,34,34,0
95,94,-1,91,94,3
92,91,-1,90,85,-5
91,86,-5,72,80,8
98,93,-5,91,71,-20
35,26,-9,29,29,0
1,1,0,1,1,0
51,68,17,1,50,49
56,76,20,69,61,-8
65,51,-14,41,48,7
3,1,-2,21,1,-20
46,54,8,49,37,-12
53,39,-14,74,45,-29
46,63,17,44,74,30
67,46,-21,41,25,-16
30,19,-11,44,39,-5
165,185,20,161,177,16
198,199,1,186,193,7
156,154,-2,155,161,6
154,170,16,150,150,0
182,193,11,180,195,15
199,203,4,195,201,6
154,148,-6,145,165,20
191,195,4,188,191,3
183,192,9,191,194,3
208,207,-1,202,198,-4
